lambda*L0_nm_mm,difffac
0.200660122,1.597891674
0.250825152,1.547958925
0.376237728,1.494134745
0.501650304,1.458717345
0.752475456,1.438794802
1.003300609,1.435518584
1.504950913,1.462914772
2.508251522,1.46358169
3.009901826,1.473536433
3.762377282,1.461861592
1.599500754,1.492829571
2.66583459,1.477882017
2.009783427,1.45634614
